mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.259721565246582,0.02071664701863477,0.011600255966186523,0.004552451981771587,0.041400718421970475,444,21,13,"{'model__learning_rate': np.float64(0.041400718421970475), 'model__max_iter': 444, 'model__max_leaf_nodes': 21, 'model__min_samples_leaf': 13}",0.8601861538591059,0.8292815252215899,0.8827750562949774,0.8372637498999769,0.8178984617445128,0.8454809894040325,0.0232285633816233,13
0.09037160873413086,0.00784154622730443,0.005831432342529297,0.0015672298678287328,0.1254335218612733,120,23,11,"{'model__learning_rate': np.float64(0.1254335218612733), 'model__max_iter': 120, 'model__max_leaf_nodes': 23, 'model__min_samples_leaf': 11}",0.8620813351689167,0.8336840637898622,0.8845195436201582,0.8319660064870129,0.8131013711402507,0.8450704640412401,0.025175382561277767,14
0.3068717002868652,0.023799850585363755,0.009659194946289062,0.0015200332680505063,0.057365523538286244,336,29,15,"{'model__learning_rate': np.float64(0.057365523538286244), 'model__max_iter': 336, 'model__max_leaf_nodes': 29, 'model__min_samples_leaf': 15}",0.8630824134469548,0.8225362916203038,0.8782623196385927,0.8432364522252319,0.8158574831301054,0.8445949920122378,0.023620118589413458,15
0.10701904296875,0.008413081827755712,0.005158185958862305,0.0004355236501860322,0.08430151543891574,149,18,6,"{'model__learning_rate': np.float64(0.08430151543891574), 'model__max_iter': 149, 'model__max_leaf_nodes': 18, 'model__min_samples_leaf': 6}",0.8572863307678313,0.8394186443532001,0.8762555231204701,0.8203883105937277,0.8235540119143212,0.8433805641499103,0.021031243321144713,16
0.2066063404083252,0.01913873919865215,0.008771896362304688,0.002355768141808728,0.10970718544909393,269,42,20,"{'model__learning_rate': np.float64(0.10970718544909393), 'model__max_iter': 269, 'model__max_leaf_nodes': 42, 'model__min_samples_leaf': 20}",0.8604271531514411,0.8270771609009118,0.8652651794596778,0.8439289039302519,0.8197038364351138,0.8432804467754794,0.01786707326729861,17
0.28776774406433103,0.01700761585623902,0.013973665237426759,0.004145488862466585,0.06337755684060234,479,43,19,"{'model__learning_rate': np.float64(0.06337755684060234), 'model__max_iter': 479, 'model__max_leaf_nodes': 43, 'model__min_samples_leaf': 19}",0.8631869411579144,0.8175634834444884,0.8751983521582066,0.8470369142227067,0.8131123129585172,0.8432196007883667,0.024497315118582528,18
0.5293702602386474,0.01888030973599819,0.016902446746826172,0.004931948015033742,0.012675166315866047,598,31,12,"{'model__learning_rate': np.float64(0.012675166315866047), 'model__max_iter': 598, 'model__max_leaf_nodes': 31, 'model__min_samples_leaf': 12}",0.8546031510520459,0.8097391331276133,0.8840710155988413,0.8293598820881771,0.8331535897477335,0.8421853543228822,0.02532758604907948,19
0.14235758781433105,0.008846466258717371,0.009397506713867188,0.004172600772472169,0.048581632699606185,112,46,11,"{'model__learning_rate': np.float64(0.048581632699606185), 'model__max_iter': 112, 'model__max_leaf_nodes': 46, 'model__min_samples_leaf': 11}",0.8618805589868069,0.8209237212738487,0.8831078922184467,0.8158058034437943,0.8282757260450623,0.8419987403935917,0.026091364755780923,20
0.15610342025756835,0.010244423174624298,0.005700445175170899,0.0005937339287514797,0.0781084884234118,140,42,11,"{'model__learning_rate': np.float64(0.0781084884234118), 'model__max_iter': 140, 'model__max_leaf_nodes': 42, 'model__min_samples_leaf': 11}",0.8565930623194065,0.8189891530905249,0.8849033292194135,0.8216514674400307,0.8229209742717437,0.8410115972682239,0.025908838267052595,21
0.1315145969390869,0.007903029587508098,0.00881943702697754,0.0009693657597137966,0.10032034240460123,195,18,9,"{'model__learning_rate': np.float64(0.10032034240460123), 'model__max_iter': 195, 'model__max_leaf_nodes': 18, 'model__min_samples_leaf': 9}",0.8563501115892613,0.8304394163394054,0.8932246269090842,0.8280749868086805,0.7962924911712969,0.8408763265635457,0.03237376822341868,22
0.38542423248291013,0.027241176062036396,0.012221145629882812,0.0029182759700778597,0.05579483854494223,543,21,16,"{'model__learning_rate': np.float64(0.05579483854494223), 'model__max_iter': 543, 'model__max_leaf_nodes': 21, 'model__min_samples_leaf': 16}",0.8611115836264636,0.8206195942884194,0.8781704421355583,0.8466535463941323,0.7977683817793327,0.8408647096447813,0.028643751098251125,23
